vType	veh_id	depart	depart_edge	depart_delay	arrival	arrival_edge	duration	route_length	CO	CO2	HC	PMx	NOx	fuel
SCar	sveh37	8.00	480148041	0.40	57.00	549454264#1	49.00	830.13	1137.887557	135425.415758	8.339795	2.286939	51.779875	58.213234	
SCar	sveh496	92.00	190128487#4	0.10	97.00	190128487#4	5.00	61.40	5.501436	5327.616866	0.108962	0.039537	1.698848	2.290139	
SCar	sveh20	5.00	480148041	0.60	98.00	367461722	93.00	1717.30	2244.067785	269188.999031	16.706467	4.704792	101.619645	115.712135	
SCar	sveh117	23.00	480148041	1.00	100.00	549454264#1	77.00	830.13	4904.978068	207461.395153	27.256216	4.019899	84.784701	89.179946	
SCar	sveh119	24.00	480148041	1.40	101.00	549454264#1	77.00	830.13	4709.514259	218615.412371	26.675770	4.390904	90.864522	93.973961	
SCar	sveh159	31.00	480148041	0.70	102.00	549454264#1	71.00	830.13	3842.154340	182439.660175	21.857188	3.639342	75.675496	78.423424	
SCar	sveh177	34.00	480148041	0.10	103.00	549454264#1	69.00	830.13	2881.511668	165054.742171	17.043742	3.043455	65.566196	70.950355	
SCar	sveh182	35.00	480148041	0.00	105.00	549454264#1	70.00	830.13	2031.005868	147613.544511	12.662344	2.430633	57.415959	63.452991	
SCar	sveh61	15.00	480148041	2.10	111.00	367461722	96.00	1717.30	2656.082929	274233.757234	18.692572	4.964506	106.667117	117.880489	
SCar	sveh258	51.00	480148041	0.50	113.00	549454264#1	62.00	830.13	3442.447782	251500.878845	21.707317	5.008232	105.367139	108.108355	
SCar	sveh80	17.00	480148041	1.40	114.00	367461722	97.00	1717.30	2076.868645	256534.988376	15.461027	4.332109	96.911042	110.272794	
SCar	sveh59	14.00	480148041	1.90	115.00	367461722	101.00	1717.30	4740.635129	389694.416946	30.999457	7.722695	160.055950	167.511093	
SCar	sveh74	16.00	480148041	1.40	117.00	367461722	101.00	1717.30	4190.668376	359438.024302	27.665305	6.936966	146.129660	154.505455	
SCar	sveh321	65.00	480148041	2.10	117.00	549454264#1	52.00	830.13	1468.617129	152608.413003	10.313529	2.591974	58.842324	65.599534	
SCar	sveh211	41.00	256605510	0.40	119.00	304693638	78.00	896.35	2434.163199	192438.621573	15.607945	3.243728	76.838068	82.721008	
SCar	sveh27	6.00	367461723	0.80	120.00	-34774629#0	114.00	1424.74	3045.539725	265265.139831	20.082466	4.253345	103.771707	114.026110	
SCar	sveh333	66.00	480148041	1.40	120.00	549454264#1	54.00	830.13	1743.250550	162465.407230	11.820984	2.897738	64.058626	69.836505	
SCar	sveh95	19.00	480148041	0.60	122.00	367461722	103.00	1717.30	1733.361994	232626.663858	13.223412	3.661110	86.626646	99.995905	
SCar	sveh44	10.00	100	0.90	124.00	36928561	114.00	1274.75	2519.259934	224084.597568	16.618195	3.210976	86.115814	96.324800	
SCar	sveh30	7.00	549454263#0	0.90	125.00	367461722	118.00	1244.94	7814.174697	353758.684188	43.870690	6.813668	145.478056	152.067168	
SCar	sveh62	14.00	367461723	0.60	129.00	-34774629#0	115.00	1424.74	2969.807288	267982.403453	19.766337	4.227664	103.984829	115.194196	
SCar	sveh351	70.00	480148041	1.90	129.00	549454264#1	59.00	830.13	2035.546699	173852.940702	13.395534	3.036603	69.167679	74.731626	
SCar	sveh69	16.00	367461723	1.90	131.00	-34774629#0	115.00	1424.74	3712.178462	296320.224104	23.877329	5.035775	118.234064	127.375140	
SCar	sveh372	74.00	480148041	3.10	131.00	549454264#1	57.00	830.13	2262.201381	185483.590581	14.721560	3.412646	75.021299	79.730923	
SCar	sveh5	2.00	106586101#0	0.30	139.00	453763721	137.00	2210.72	4076.616837	382405.554435	27.633119	6.746583	149.005002	164.379004	
SCar	sveh162	33.00	367461723	2.20	140.00	-34774629#0	107.00	1424.74	3209.155080	291375.571840	21.467698	4.867990	114.490489	125.249524	
SCar	sveh404	84.00	480148041	8.30	140.00	549454264#1	56.00	830.13	1722.910531	165067.688883	11.595875	2.835194	65.058044	70.955131	
SCar	sveh12	3.00	479198389	0.40	143.00	-172963174#2	140.00	1417.90	4500.639707	318151.818449	27.875610	5.076331	126.310688	136.760378	
SCar	sveh327	67.00	256605510	3.20	144.00	304693638	77.00	896.35	2985.343524	220561.295489	18.786247	3.857837	89.381748	94.809633	
SCar	sveh83	18.00	367461723	1.80	146.00	35006698	128.00	2105.38	3673.226772	363412.064714	25.321115	6.384498	141.069273	156.214455	
SCar	sveh79	16.00	549454263#0	0.50	148.00	367461722	132.00	1244.94	7465.287025	346578.906492	42.199668	6.620509	142.679407	148.980746	
SCar	sveh138	27.00	367461723	1.10	148.00	35006698	121.00	2105.38	3841.122380	382345.984354	26.681095	6.880671	148.459890	164.353148	
SCar	sveh124	24.00	367461723	1.00	149.00	35006698	125.00	2105.38	4496.233671	437139.601063	30.927562	7.882160	171.384736	187.906330	
SCar	sveh64	15.00	367461723	1.40	150.00	35006698	135.00	2105.38	3511.678166	361446.986927	24.543305	6.113793	139.761660	155.369905	
SCar	sveh190	38.00	480148041	0.90	150.00	367461722	112.00	1717.30	1676.860750	232308.155862	12.861055	3.382558	85.592724	99.859269	
SCar	sveh123	23.00	106586101#0	0.20	153.00	453763721	130.00	2210.72	3607.363698	367119.035094	25.221004	6.517371	142.129887	157.807823	
SCar	sveh156	31.00	367461723	1.00	153.00	35006698	122.00	2105.38	3934.510883	405579.536619	27.633838	7.103140	156.378250	174.340358	
SCar	sveh135	26.00	367461723	0.70	155.00	35006698	129.00	2105.38	3490.180792	362088.909576	24.479082	6.236224	139.630999	155.645756	
SCar	sveh15	3.00	367461723	0.00	156.00	304693638	153.00	2771.64	4092.302962	466744.586124	29.733364	8.179934	178.213349	200.632237	
SCar	sveh338	66.00	479198389	0.60	164.00	479198374	98.00	1042.02	2152.780216	179250.728201	13.906648	2.470098	68.481273	77.052800	
SCar	sveh341	66.00	100	0.50	166.00	gneE29	100.00	1040.32	2628.540809	201425.068471	16.617635	3.018211	78.749107	86.584457	
SCar	sveh141	29.00	367461723	2.10	168.00	35006698	139.00	2105.38	3701.262479	373321.278775	25.458740	6.184250	143.594457	160.474349	
SCar	sveh298	60.00	34774629#0	0.50	168.00	-256605510	108.00	952.10	7011.247960	306767.148132	39.202587	6.029727	128.352151	131.867211	
SCar	sveh7	3.00	479127834	0.80	169.00	447313062	166.00	3287.47	4211.217190	490334.991114	30.898311	8.751818	185.553752	210.772638	
SCar	sveh308	62.00	480148041	1.10	169.00	367461722	107.00	1717.30	2942.560905	289283.228497	20.234001	5.106968	113.572061	124.349675	
SCar	sveh28	6.00	479127834	0.80	171.00	447313062	165.00	3287.47	4837.166427	554114.152304	35.448167	10.071613	210.719624	238.188220	
SCar	sveh81	17.00	367461723	1.30	172.00	304693638	155.00	2771.92	3906.626381	439764.551579	28.251250	7.592050	167.999756	189.034889	
SCar	sveh195	38.00	34774629#0	0.20	172.00	367461722	134.00	1669.12	3935.219510	323343.805677	25.504205	5.458713	128.209754	138.991409	
SCar	sveh31	7.00	479127834	0.70	173.00	447313062	166.00	3287.47	4758.697520	512303.690296	34.034078	9.450160	197.190325	220.215695	
SCar	sveh114	23.00	367461723	1.20	174.00	304693638	151.00	2771.92	5360.815623	540178.155276	37.432804	9.956891	211.079719	232.197620	
SCar	sveh143	30.00	367461723	3.00	174.00	35006698	144.00	2105.38	4594.634054	394786.876935	30.274412	6.811237	153.476216	169.701685	
SCar	sveh89	18.00	549454263#0	0.70	175.00	367461722	157.00	1244.94	7987.254006	332982.388113	44.186230	6.298171	138.006728	143.136785	
SCar	sveh146	28.00	34774629#0	0.20	175.00	35006698	147.00	2582.05	4630.570314	436883.582366	31.598244	7.945224	170.156625	187.796463	
SCar	sveh53	11.00	479127834	0.30	176.00	447313062	165.00	3287.47	4689.640204	526425.587784	34.091001	9.632678	200.996821	226.286116	
SCar	sveh251	50.00	480148041	0.90	176.00	367461722	126.00	1717.30	2055.379938	241722.389072	14.924599	3.487776	90.651780	103.906202	
SCar	sveh172	37.00	367461723	3.90	177.00	35006698	140.00	2105.38	5766.617670	455041.850324	37.170267	8.343210	180.414769	195.602301	
SCar	sveh332	68.00	34774629#0	3.40	177.00	-256605510	109.00	952.10	6104.846708	295094.147587	34.759953	5.537192	122.247848	126.849249	
SCar	sveh361	71.00	480148041	1.40	177.00	367461722	106.00	1717.30	3089.729275	301504.108294	21.228764	5.281484	117.647374	129.603011	
SCar	sveh35	8.00	256605510	0.80	179.00	35006698	171.00	3165.98	4981.902163	502355.572235	34.801539	9.117694	193.488918	215.939852	
SCar	sveh183	36.00	106586101#0	0.90	179.00	453763721	143.00	2210.72	3964.700181	372229.996777	26.858142	6.396440	144.718728	160.005168	
SCar	sveh397	75.00	34774629#0	0.50	179.00	-256605510	104.00	952.10	5829.676821	301069.241937	33.686797	5.768302	125.246146	129.417207	
SCar	sveh174	38.00	367461723	4.50	180.00	35006698	142.00	2105.38	5213.877574	426186.567342	33.917688	7.638203	168.014589	183.198783	
SCar	sveh1	1.00	256605510	0.00	181.00	453763721	180.00	2985.30	5353.134504	519769.214039	36.733246	9.222721	201.763709	223.425356	
SCar	sveh163	31.00	34774629#0	0.10	182.00	35006698	151.00	2582.05	4662.794586	446908.046688	31.766718	8.013550	174.124180	192.105518	
