carid	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel	length	ttime
0	119097.73357430665	2827687.9984217407	608.6074505138515	61.56822660010363	1233.6172083155457	1215.5488025977493	4636.673273809524	1184.27008003001
1	122067.9918641578	2837146.352401036	622.2669465818601	61.76832706243958	1239.982720964183	1219.6166695634572	4531.677093073593	1227.9487107963312
2	122067.9918641578	2837146.352401036	622.2669465818601	61.76832706243958	1239.982720964183	1219.6166695634572	4531.677093073593	1227.9487107963312
3	122642.1854330015	2793310.0770982765	623.8775181301951	61.31039715499335	1224.1309059087707	1200.7739112337222	4182.763759740259	1203.9185611605849
4	63084.70114990295	1944109.1580514214	332.7353701718215	39.05974524411974	826.4727964770402	835.7104252233872	4844.98973809524	817.8507985049387
5	14039.861405136391	546076.7501981795	76.62848868738901	9.969689103793453	224.79448868051784	234.73942292395864	1962.2123928571427	252.7331830657593
6	119097.73357430665	2827687.9984217407	608.6074505138515	61.56822660010363	1233.6172083155457	1215.5488025977493	4636.673273809524	1184.27008003001
7	63084.70114990295	1944109.1580514214	332.7353701718215	39.05974524411974	826.4727964770402	835.7104252233872	4844.98973809524	817.8507985049387
8	28424.06317821211	892757.664977273	150.38955288118262	18.20751809560452	382.4699378351635	383.76699811342434	1950.2001428571425	349.25300592415607
9	66438.74478858818	1880065.685898777	346.66875351160127	39.281324104838646	809.619128600812	808.1824724103204	3831.922654761905	755.9518917847855
10	122067.9918641578	2837146.352401036	622.2669465818601	61.76832706243958	1239.982720964183	1219.6166695634572	4531.677093073593	1227.9487107963312
11	122642.1854330015	2793310.0770982765	623.8775181301951	61.31039715499335	1224.1309059087707	1200.7739112337222	4182.763759740259	1203.9185611605849
12	290410.1007454767	5525887.988788522	1452.0544719694808	129.89202769036123	2477.8857551532988	2375.4682957729224	4117.936722222224	2241.9412591357013
13	28424.06317821211	892757.664977273	150.38955288118262	18.20751809560452	382.4699378351635	383.76699811342434	1950.2001428571425	349.25300592415607
14	47249.681133341175	1126738.8995054613	241.60726183278467	24.76587144808169	494.47565531357253	484.3547828988454	1598.7748809523814	468.7328170353537
15	291309.91114255943	5659043.234557962	1459.3406062675294	132.29535153008663	2529.7754355634347	2432.7052752589743	4832.898388888893	2278.369994806508
16	118218.33939892048	2669745.5091019413	600.9188779086376	59.184572015857356	1173.7579542508652	1147.65657386834	3668.308912698413	1122.546973094656
