vType	veh_id	depart	depart_edge	depart_delay	arrival	arrival_edge	duration	route_length	CO	CO2	HC	PMx	NOx	fuel
SCar	sveh37	8.00	480148041	0.40	57.00	549454264#1	49.00	830.13	1137.887557	135425.415758	8.339795	2.286939	51.779875	58.213234	
SCar	sveh496	92.00	190128487#4	0.10	97.00	190128487#4	5.00	61.40	5.501436	5327.616866	0.108962	0.039537	1.698848	2.290139	
SCar	sveh20	5.00	480148041	0.60	98.00	367461722	93.00	1717.30	2244.067785	269188.999031	16.706467	4.704792	101.619645	115.712135	
SCar	sveh117	23.00	480148041	1.00	100.00	549454264#1	77.00	830.13	4904.978068	207461.395153	27.256216	4.019899	84.784701	89.179946	
SCar	sveh119	24.00	480148041	1.40	101.00	549454264#1	77.00	830.13	4709.514259	218615.412371	26.675770	4.390904	90.864522	93.973961	
SCar	sveh159	31.00	480148041	0.70	102.00	549454264#1	71.00	830.13	3842.154340	182439.660175	21.857188	3.639342	75.675496	78.423424	
SCar	sveh177	34.00	480148041	0.10	103.00	549454264#1	69.00	830.13	2881.511668	165054.742171	17.043742	3.043455	65.566196	70.950355	
SCar	sveh182	35.00	480148041	0.00	105.00	549454264#1	70.00	830.13	2031.005868	147613.544511	12.662344	2.430633	57.415959	63.452991	
SCar	sveh61	15.00	480148041	2.10	111.00	367461722	96.00	1717.30	2656.082929	274233.757234	18.692572	4.964506	106.667117	117.880489	
SCar	sveh258	51.00	480148041	0.50	113.00	549454264#1	62.00	830.13	3442.447782	251500.878845	21.707317	5.008232	105.367139	108.108355	
SCar	sveh80	17.00	480148041	1.40	114.00	367461722	97.00	1717.30	2100.021981	257770.031432	15.597223	4.363897	97.485242	110.803674	
SCar	sveh59	14.00	480148041	1.90	115.00	367461722	101.00	1717.30	4740.635129	389694.416946	30.999457	7.722695	160.055950	167.511093	
SCar	sveh74	16.00	480148041	1.40	117.00	367461722	101.00	1717.30	4151.336167	354738.159067	27.375929	6.864333	144.324992	152.485191	
SCar	sveh321	65.00	480148041	2.10	117.00	549454264#1	52.00	830.13	1465.070201	150020.685296	10.239873	2.573015	58.003837	64.487166	
SCar	sveh211	41.00	256605510	0.40	119.00	304693638	78.00	896.35	2447.012060	192725.075498	15.673491	3.252815	76.995521	82.844142	
SCar	sveh27	6.00	367461723	0.80	120.00	-34774629#0	114.00	1424.74	3045.539725	265265.139831	20.082466	4.253345	103.771707	114.026110	
SCar	sveh333	66.00	480148041	1.40	120.00	549454264#1	54.00	830.13	1749.238397	162782.226873	11.856144	2.905908	64.206008	69.972689	
SCar	sveh95	19.00	480148041	0.60	123.00	367461722	104.00	1717.30	1658.460549	230557.172198	12.823733	3.562255	85.328195	99.106383	
SCar	sveh44	10.00	100	0.90	124.00	36928561	114.00	1274.75	2448.089430	221726.667277	16.228343	3.107040	84.708299	95.311296	
SCar	sveh30	7.00	549454263#0	0.90	125.00	367461722	118.00	1244.94	7812.308001	348155.959302	43.823948	6.769883	143.753441	149.658779	
SCar	sveh62	14.00	367461723	0.60	129.00	-34774629#0	115.00	1424.74	3016.597354	270026.285523	20.030077	4.281995	104.966619	116.072756	
SCar	sveh351	70.00	480148041	1.90	129.00	549454264#1	59.00	830.13	2031.339102	168310.204605	13.259802	3.029102	67.564873	72.348964	
SCar	sveh372	74.00	480148041	3.10	130.00	549454264#1	56.00	830.13	2314.733078	188370.210885	15.032898	3.486938	76.351545	80.971729	
SCar	sveh69	16.00	367461723	1.90	131.00	-34774629#0	115.00	1424.74	3886.289625	301998.320277	24.825005	5.235573	121.307928	129.815822	
SCar	sveh5	2.00	106586101#0	0.30	139.00	453763721	137.00	2210.72	4039.725597	378538.023281	27.407912	6.693473	147.577432	162.716514	
SCar	sveh162	33.00	367461723	2.20	140.00	-34774629#0	107.00	1424.74	3166.297353	290110.990377	21.217677	4.793139	113.605619	124.705995	
SCar	sveh404	84.00	480148041	8.30	140.00	549454264#1	56.00	830.13	1796.043920	161954.568208	11.961838	2.901148	64.769131	69.616849	
SCar	sveh12	3.00	479198389	0.40	143.00	-172963174#2	140.00	1417.90	4341.410397	306872.146869	26.898480	4.946307	122.129847	131.911638	
SCar	sveh327	67.00	256605510	3.20	143.00	304693638	76.00	896.35	2922.221986	225267.539226	18.599185	3.838891	90.299380	96.832722	
SCar	sveh83	18.00	367461723	1.80	146.00	35006698	128.00	2105.38	3963.956950	374570.430409	26.993855	6.725458	146.894412	161.010819	
SCar	sveh79	16.00	549454263#0	0.50	148.00	367461722	132.00	1244.94	7534.187610	350708.536544	42.616201	6.724511	144.577964	150.755853	
SCar	sveh138	27.00	367461723	1.10	148.00	35006698	121.00	2105.38	4015.889925	401732.867146	27.933155	7.242157	155.846435	172.686671	
SCar	sveh124	24.00	367461723	1.00	149.00	35006698	125.00	2105.38	4340.226971	429347.604048	29.998083	7.675158	167.768701	184.556953	
SCar	sveh64	15.00	367461723	1.40	150.00	35006698	135.00	2105.38	3511.996631	360929.625445	24.486609	6.099843	139.534132	155.147518	
SCar	sveh190	38.00	480148041	0.90	150.00	367461722	112.00	1717.30	1669.347790	231586.218056	12.808854	3.365483	85.274256	99.548948	
SCar	sveh123	23.00	106586101#0	0.20	153.00	453763721	130.00	2210.72	3660.352114	374395.112421	25.622724	6.648518	144.992428	160.935454	
SCar	sveh156	31.00	367461723	1.00	153.00	35006698	122.00	2105.38	3942.181933	409587.272207	27.758818	7.159128	157.688345	176.063112	
SCar	sveh15	3.00	367461723	0.00	155.00	304693638	152.00	2771.64	3771.446063	452899.399855	27.970103	7.821078	171.422850	194.680913	
SCar	sveh135	26.00	367461723	0.70	155.00	35006698	129.00	2105.38	3340.713188	354858.910761	23.621596	6.046252	136.243122	152.537955	
SCar	sveh338	66.00	479198389	0.60	164.00	479198374	98.00	1042.02	2277.800302	180001.631976	14.515626	2.626524	69.852870	77.375445	
SCar	sveh341	66.00	100	0.50	166.00	gneE29	100.00	1040.32	2851.721442	212549.578198	17.903364	3.270701	83.747185	91.366358	
SCar	sveh298	60.00	34774629#0	0.50	167.00	-256605510	107.00	952.10	6820.981014	295282.084497	38.069669	5.849399	123.793570	126.930228	
SCar	sveh141	29.00	367461723	2.10	168.00	35006698	139.00	2105.38	3574.547592	352099.448482	24.319022	5.833106	135.700531	151.352051	
SCar	sveh308	62.00	480148041	1.10	169.00	367461722	107.00	1717.30	2755.891078	278459.863000	19.051313	4.828140	108.563452	119.697279	
SCar	sveh7	3.00	479127834	0.80	170.00	447313062	167.00	3287.47	4140.959289	483497.747848	30.430959	8.618691	182.960839	207.833623	
SCar	sveh28	6.00	479127834	0.80	171.00	447313062	165.00	3287.47	4603.743526	531723.173733	33.830092	9.626391	202.002765	228.563387	
SCar	sveh81	17.00	367461723	1.30	172.00	304693638	155.00	2771.92	3737.515479	428883.311587	27.215119	7.351920	163.374686	184.357568	
SCar	sveh195	38.00	34774629#0	0.20	172.00	367461722	134.00	1669.12	3902.293688	324756.436312	25.374974	5.406469	128.242109	139.598715	
SCar	sveh31	7.00	479127834	0.70	173.00	447313062	166.00	3287.47	4865.136515	528379.865486	34.897727	9.727017	202.986554	227.126120	
SCar	sveh89	18.00	549454263#0	0.70	174.00	367461722	156.00	1244.94	7987.577812	334640.208918	44.249710	6.336813	138.653139	143.849389	
SCar	sveh114	23.00	367461723	1.20	174.00	304693638	151.00	2771.92	5502.033429	539928.292986	38.022099	10.093295	212.028186	232.090096	
SCar	sveh143	30.00	367461723	3.00	174.00	35006698	144.00	2105.38	4420.309443	379000.858754	29.100010	6.496773	147.176980	162.916025	
SCar	sveh146	28.00	34774629#0	0.20	175.00	35006698	147.00	2582.05	4617.876342	457996.974962	31.993745	8.199996	176.711787	196.872226	
SCar	sveh53	11.00	479127834	0.30	176.00	447313062	165.00	3287.47	4449.466598	525826.046393	32.973760	9.473052	198.940826	226.028517	
SCar	sveh251	50.00	480148041	0.90	176.00	367461722	126.00	1717.30	2071.845811	249556.964183	15.098345	3.547295	93.090959	107.273994	
SCar	sveh332	68.00	34774629#0	3.40	176.00	-256605510	108.00	952.10	5768.965930	284570.720580	32.961140	5.170495	116.271027	122.325858	
SCar	sveh172	37.00	367461723	3.90	177.00	35006698	140.00	2105.38	5860.107575	459216.400109	37.690414	8.455380	182.364991	197.396726	
SCar	sveh361	71.00	480148041	1.40	177.00	367461722	106.00	1717.30	3088.737794	312277.354305	21.414556	5.454501	121.117273	134.233924	
SCar	sveh35	8.00	256605510	0.80	179.00	35006698	171.00	3165.98	4676.164929	494893.199518	33.207042	8.820376	188.892461	212.732234	
SCar	sveh183	36.00	106586101#0	0.90	180.00	453763721	144.00	2210.72	4137.806328	378786.535544	27.803271	6.577069	147.912800	162.823495	
SCar	sveh1	1.00	256605510	0.00	181.00	453763721	180.00	2985.30	5579.458228	538315.241326	38.279906	9.581305	209.052043	231.397466	
SCar	sveh163	31.00	34774629#0	0.10	181.00	35006698	150.00	2582.05	4749.768494	450276.250136	32.405845	8.151911	176.071317	193.553296	
SCar	sveh174	38.00	367461723	4.50	182.00	35006698	144.00	2105.38	5495.096044	448490.684915	35.748789	8.109071	177.460810	192.786217	
SCar	sveh397	75.00	34774629#0	0.50	182.00	-256605510	107.00	952.10	5892.496900	278566.477756	33.431494	5.441428	117.382891	119.744382	
