vType	veh_id	depart	depart_edge	depart_delay	arrival	arrival_edge	duration	route_length	CO	CO2	HC	PMx	NOx	fuel
SCar	sveh6	6.00	256605510	0.40	74.00	304693638	68.00	896.35	2518.517308	201407.025819	16.236500	3.685296	81.889196	86.575703	
SCar	sveh10	9.00	549454263#0	0.70	96.00	367461722	87.00	1244.94	3366.683631	285966.490899	22.096659	5.112257	114.049873	122.924118	
SCar	sveh33	17.00	480148041	0.60	100.00	549454264#1	83.00	830.13	4503.443356	192700.858652	25.027075	3.600775	77.665515	82.835116	
SCar	sveh12	9.00	480148041	0.00	101.00	367461722	92.00	1717.30	1881.896628	241741.431096	14.349432	4.123506	90.358919	103.913731	
SCar	sveh24	13.00	480148041	0.70	103.00	549454264#1	90.00	830.13	5333.156070	207825.766645	29.142216	3.915876	84.696994	89.337048	
SCar	sveh40	22.00	480148041	0.30	104.00	549454264#1	82.00	830.13	5112.684763	201645.691670	28.064025	3.899353	82.105084	86.680326	
SCar	sveh53	34.00	256605510	0.60	106.00	304693638	72.00	896.35	2489.026307	198426.994776	16.026877	3.499425	80.033121	85.294914	
SCar	sveh34	19.00	549454263#0	0.80	116.00	367461722	97.00	1244.94	3521.974707	263378.908032	22.221709	4.684585	105.930924	113.215019	
SCar	sveh174	74.00	480148041	0.50	123.00	549454264#1	49.00	830.13	1105.954223	110051.740806	7.636202	1.911931	42.790053	47.306286	
SCar	sveh27	15.00	367461723	0.30	130.00	35006698	115.00	2105.38	3206.759082	347959.269039	22.919581	6.209656	133.955040	149.571770	
SCar	sveh96	50.00	479198389	0.70	130.00	479198374	80.00	1042.02	1701.545239	190100.461072	12.110490	2.862530	72.771204	81.715937	
SCar	sveh54	34.00	549454263#0	0.50	132.00	367461722	98.00	1244.94	2726.694032	235950.381541	17.949113	3.889732	92.793389	101.424823	
SCar	sveh61	37.00	480148041	0.80	132.00	367461722	95.00	1717.30	1812.955084	254375.503353	14.252132	4.117723	93.616131	109.344738	
SCar	sveh103	52.00	479198389	0.40	136.00	479198374	84.00	1042.02	1469.930935	164477.518556	10.444411	2.293300	62.002780	70.702004	
SCar	sveh217	97.00	480148041	0.80	146.00	549454264#1	49.00	830.13	937.780848	113342.836799	6.962478	1.845738	42.698699	48.721060	
SCar	sveh71	41.00	549454263#0	0.30	147.00	367461722	106.00	1244.94	3701.516689	275571.704856	23.330409	4.763081	110.184099	118.456373	
SCar	sveh14	10.00	106586101#0	0.50	151.00	453763721	141.00	2210.72	3848.961572	388967.913865	26.771727	6.561045	148.801467	167.200169	
SCar	sveh37	21.00	367461723	0.50	157.00	35006698	136.00	2105.38	3026.791436	324038.366307	21.421948	5.337496	124.174324	139.289746	
SCar	sveh48	30.00	367461723	0.70	157.00	-34774629#0	127.00	1424.74	3380.242285	271352.820080	21.701005	4.310899	106.408630	116.643173	
SCar	sveh58	35.00	367461723	0.60	159.00	-34774629#0	124.00	1424.74	4395.289443	320344.973069	27.516298	5.665961	129.920640	137.702239	
SCar	sveh62	38.00	367461723	0.30	160.00	-34774629#0	122.00	1424.74	3583.890222	283555.782206	22.976234	4.701905	112.329879	121.888475	
SCar	sveh15	11.00	106586101#0	1.10	162.00	453763721	151.00	2210.72	4113.963874	394753.385861	28.006932	6.506020	151.815965	169.687304	
SCar	sveh18	11.00	480148041	0.00	169.00	-256605510	158.00	3126.73	3873.499865	440761.985890	28.291958	7.914809	167.215188	189.463477	
SCar	sveh4	4.00	479127834	0.70	171.00	447313062	167.00	3287.47	4053.841211	491671.371105	30.283920	8.688699	184.913473	211.347150	
SCar	sveh7	7.00	256605510	0.90	175.00	367461722	168.00	2253.05	4556.643787	411419.868781	30.331236	6.706688	160.177295	176.851586	
SCar	sveh35	19.00	96151239#5	0.00	180.00	238872916#7	161.00	1911.84	7789.266547	452221.204178	45.923584	8.252523	182.715604	194.391219	
SCar	sveh23	13.00	106586101#0	0.80	183.00	453763721	170.00	2210.72	4365.837313	395967.055348	28.860966	6.334570	152.889889	170.209266	
SCar	sveh11	9.00	-238872916#7	0.10	186.00	-96151239#5	177.00	1910.00	6812.271575	429355.082470	40.984657	7.088045	169.873840	184.562567	
SCar	sveh29	16.00	-238872916#7	0.30	188.00	-96151239#5	172.00	1910.00	7899.063022	457661.363930	46.625925	8.297431	186.343554	196.729651	
SCar	sveh113	54.00	-36928561	0.20	189.00	453763721	135.00	1427.76	3377.386772	272581.042545	21.662769	4.057991	105.696070	117.171477	
SCar	sveh65	40.00	367461723	0.70	190.00	549454264#1	150.00	2042.46	5128.625069	393381.737292	32.666729	6.912654	155.403802	169.097785	
SCar	sveh150	63.00	367461723	0.00	191.00	-34774629#0	128.00	1424.74	5434.354597	326423.025424	32.453315	5.782923	130.482991	140.315946	
SCar	sveh99	51.00	367461723	0.20	192.00	-34774629#0	141.00	1424.74	6605.181658	335998.381217	37.965448	5.927849	135.143878	144.432802	
SCar	sveh55	34.00	480148041	0.30	193.00	-34774629#0	159.00	2472.66	5638.248878	408343.951296	35.443951	7.379257	158.003389	175.529834	
SCar	sveh66	40.00	480148041	0.60	193.00	-34774629#0	153.00	2472.66	4122.432830	412809.873289	28.655191	7.107647	156.183422	177.448868	
