vType	veh_id	depart	depart_edge	depart_delay	arrival	arrival_edge	duration	route_length	CO	CO2	HC	PMx	NOx	fuel
SCar	sveh6	6.00	256605510	0.40	74.00	304693638	68.00	896.35	2600.437819	207733.627302	16.753854	3.802386	84.482279	89.295219	
SCar	sveh10	9.00	549454263#0	0.70	96.00	367461722	87.00	1244.94	3399.328739	270610.433614	21.924588	5.007335	109.438431	116.323125	
SCar	sveh12	9.00	480148041	0.00	101.00	367461722	92.00	1717.30	2230.359326	249358.600468	16.164161	4.467801	95.468387	107.187842	
SCar	sveh33	17.00	480148041	0.60	101.00	549454264#1	84.00	830.13	4746.005486	200800.817572	26.359166	3.764451	81.182370	86.317011	
SCar	sveh24	13.00	480148041	0.70	102.00	549454264#1	89.00	830.13	5246.513216	208276.078090	28.757327	3.900741	84.689437	89.530578	
SCar	sveh40	22.00	480148041	0.30	103.00	549454264#1	81.00	830.13	4935.087762	201130.342946	27.258633	3.944405	82.259218	86.458570	
SCar	sveh53	34.00	256605510	0.60	105.00	304693638	71.00	896.35	2525.370843	211696.072283	16.487274	3.613593	84.261431	90.998806	
SCar	sveh34	19.00	549454263#0	0.80	116.00	367461722	97.00	1244.94	3357.779776	257987.879434	21.371712	4.496966	103.009205	110.897737	
SCar	sveh174	74.00	480148041	0.50	123.00	549454264#1	49.00	830.13	966.666005	110516.808002	7.015425	1.823787	41.948198	47.506265	
SCar	sveh96	50.00	479198389	0.70	129.00	479198374	79.00	1042.02	1840.440437	187500.677928	12.730193	2.950798	72.878467	80.598324	
SCar	sveh27	15.00	367461723	0.30	130.00	35006698	115.00	2105.38	3022.233749	342694.364989	21.952827	6.026432	130.847064	147.308702	
SCar	sveh54	34.00	549454263#0	0.50	132.00	367461722	98.00	1244.94	2694.797235	235700.636985	17.764914	3.878406	92.506424	101.317463	
SCar	sveh61	37.00	480148041	0.80	132.00	367461722	95.00	1717.30	1898.560034	246057.792291	14.482974	4.139394	91.772732	105.769189	
